CODE,YEAR,DEVING,FOIPASS,FOI_postpassage,polity2,NEWDEM,logINGO,CORRUPTION,logtrade,loggdpcap,AID_DEPENDENCE,IMFDUMMY,FOI_REGIONAL,FOI_IGO,turnfreq,opp1vote,oppvote,opp1vote_dev,turnfreq1,FHDEM,checks,PRESSFREEDOM,PRES,FDISTOCK,GDPGRTH,BATTLEDEATHS,INJUD,yrcurnt
ALB,1983,1,0,0,-9,0,4.219507705,2.6375,3.767055925,7.012599366,NA,0,0,0.101661663,0,0,0,0,0,0,1,0,1,NA,NA,0,0,NA
ALB,1984,1,0,0,-9,0,4.234106505,2.6375,3.663705785,7.004314268,NA,0,0,0.101615597,0,0,0,0,0,0,1,0,1,NA,0.011049383,0,0,NA
ALB,1985,1,0,0,-9,0,4.262679877,2.6375,3.605237745,6.970981131,-5.399243285,0,0,0.083310181,0,0,0,0,0,0,1,0,1,NA,-0.012515967,0,0,NA
ALB,1986,1,0,0,-9,0,4.204692619,2.6375,3.546319035,6.965897523,-5.399243285,0,0,0.099559958,0,0,0,0,0,0,1,0,1,NA,0.01780644,0,0,NA
ALB,1987,1,0,0,-9,0,4.158883083,2.6375,3.41854649,6.995292121,-5.399243285,0,0.052631579,0.108430543,0,0,0,0,0,0,1,0,1,NA,0.056372432,0,0,NA
ALB,1988,1,0,0,-9,0,4.17438727,2.6375,3.434916078,6.960413055,-5.399243285,0,0.105263158,0.120910692,0,0,0,0,0,0,1,0,1,NA,-0.007878426,0,0,NA
ALB,1989,1,0,0,-9,0,4.158883083,2.6375,3.572354221,6.921057523,-5.093246207,0,0.105263158,0.120449155,0,0,0,0,0,0,1,0,1,NA,-0.014200397,0,0,NA
ALB,1990,1,0,0,-9,0,4.189654742,2.6375,3.654767445,6.996008709,-4.872430759,0,0.105263158,0.133427426,0,0,0,0,0,0,1,0,1,NA,0.09836549,0,0,NA
ALB,1991,1,0,0,1,0,4.276666119,2.6375,3.639315799,6.885269897,-4.731650263,0,0.157894737,0.145700997,0,0,0,0,0,0,1,0,1,NA,-0.095756402,0,1,0
ALB,1992,1,0,0,1,0,4.304065093,2.6375,3.550088138,6.534175379,-1.247881031,0,0.157894737,0.153154567,0,0,0,0,0,1,NA,0,0,NA,-0.295889977,0,2,0
ALB,1993,1,0,0,5,0,4.905274778,2.6375,4.605197049,6.467572526,-0.604708832,1,0.263157895,0.149581568,1,0.25,0.25,0.25,1,1,2,1,0,1.272487356,-0.072,0,1,4
ALB,1994,1,0,0,5,0,5.192956851,2.6375,4.353049176,6.57284598,-1.727646365,1,0.263157895,0.15525334,1,0.25,0.25,0.1875,1,1,2,1,0,4.993786801,0.096,0,1,3
ALB,1995,1,0,0,5,0,5.379897354,2.6375,3.91804508,6.667277826,-2.897649455,1,0.263157895,0.174488211,1,0.25,0.25,0.125,1,1,2,1,0,7.23403345,0.083,0,2,2
ALB,1996,1,0,0,5,0,4.48863637,2.6375,3.849879949,6.804494004,-2.971819295,1,0.263157895,0.172750597,1,0.25,0.25,0.0625,1,1,2,0,0,8.512455319,0.133,0,1,0
ALB,1997,1,0,0,0,0,5.552959585,2.6375,3.861725091,6.900519717,-2.738483799,1,0.263157895,0.204037635,1,0.2037,0.2938,-0.0463,1,1,2,0,0,9.083538062,0.091000004,0,1,0
ALB,1998,1,0,0,5,0,5.703782475,2.6375,3.854625342,6.799099844,-2.687620232,1,0.263157895,0.219320408,1,0.257,0.28,0.018575,1,1,2,0,0,14.99878494,-0.102000003,0,1,3
ALB,1999,1,1,0,5,0,5.855071922,2.6375,3.809655995,6.92228687,-2.656137125,1,0.263157895,0.234043612,1,0.257,0.28,0.016825,1,1,2,1,0,14.49133549,0.127,0,1,2
ALB,2000,1,0,1,5,0,5.902633333,2.6375,3.898246809,7.020384181,-2.188215948,1,0.315789474,0.256276213,1,0.257,0.28,0.015075,1,1,2,1,0,12.69783504,0.101,0,1,1
ALB,2001,1,0,1,5,0,6.061456919,2.6375,4.036456573,7.091592146,-2.708550661,1,0.473684211,0.310425927,1,0.257,0.28,0.013325,1,1,2,1,0,6.780994565,0.073,0,1,0
ALB,2002,1,0,1,5,0,6.11146734,2.6375,4.081431225,7.158655384,-2.866192083,1,0.631578947,0.341833109,1,0.3681,0.4445,0.1111,1,1,2,1,0,8.042298095,0.07,0,1,2
ALB,2003,1,0,1,7,0,6.184148891,2.6375,4.206719053,7.18499768,-2.97156263,1,0.631578947,0.376247441,0,0.3681,0.4445,0.083325,0,1,2,1,0,8.108136752,0.029,0,1,1
ALB,2004,1,0,1,7,0,6.246106765,2.6375,4.197106296,7.23703989,-2.970532857,1,0.789473684,0.419097312,0,0.3681,0.4445,0.05555,0,1,2,1,0,8.749469964,0.057,0,1,0
ALB,2005,1,0,1,7,0,6.270988432,2.6375,4.17205563,7.290503932,-3.395888658,1,0.842105263,0.451167487,0,0.3681,0.4445,0.027775,0,1,2,1,0,11.40120238,0.059,0,1,0
ALB,2006,1,0,1,9,0,6.276643489,2.6375,4.228280728,7.340211063,-3.350210361,1,0.842105263,0.479736801,1,0.3,0.386,-0.0681,1,1,3,1,0,12.484107,0.055,0,1,4
ALB,2007,1,0,1,9,0,6.302618976,2.6375,4.307325527,7.385416047,-3.394451753,1,0.894736842,0.49728077,1,0.3,0.386,-0.051075,1,1,3,1,0,15.19939171,0.05,0,0,3
ALB,2008,1,0,1,9,0,6.311734809,2.6375,4.415492259,7.440261018,-3.57210658,1,0.894736842,0.524152683,1,0.3,0.386,-0.03405,1,1,3,1,0,22.81887348,0.06,0,0,2
ALG,1983,1,0,0,-9,0,5.899897354,2.9,4.093059258,7.562449253,-4.901820541,0,0.066666667,0.119871497,0,0,0,0,0,0,1,0,1,3.285216287,NA,0,2,1
ALG,1984,1,0,0,-9,0,5.950642553,2.9,3.984234216,7.582377122,-5.061841736,0,0.066666667,0.119125355,0,0,0,0,0,0,1,0,1,3.042741633,0.05400003,0,2,0
ALG,1985,1,0,0,-9,0,5.986452005,2.9,3.973614382,7.605113457,-5.011396246,0,0.066666667,0.119740541,0,0,0,0,0,0,1,0,1,2.806623594,0.055999965,0,1,4
ALG,1986,1,0,0,-9,0,5.993961427,2.9,3.918524239,7.610939185,-4.948973346,0,0.066666667,0.11964513,0,0,0,0,0,0,1,0,1,2.562945694,0.036999973,0,2,3
ALG,1987,1,0,0,-9,0,6.001414878,2.9,3.584260624,7.58581105,-5.044415024,0,0.066666667,0.131676258,0,0,0,0,0,0,1,0,1,2.365418234,0.00400001,0,2,2
ALG,1988,1,0,0,-9,0,6.08221891,2.9,3.486903544,7.550963719,-5.006986265,0,0.066666667,0.143367594,0,0,0,0,0,0,1,0,1,2.31930067,-0.006999975,0,1,0
ALG,1989,1,0,0,-9,0,6.167516491,2.9,3.640518364,7.514204628,-5.012272793,0,0.066666667,0.143039381,0,0,0,0,0,0,1,0,1,2.565968816,-0.010000055,0,2,4
ALG,1990,1,0,0,-2,0,6.222576268,2.9,3.853404414,7.531408407,-5.018056765,1,0.066666667,0.136821316,0,0,0,0,0,1,1,0,1,2.741271753,0.044000022,0,2,3
ALG,1991,1,0,0,-2,0,6.270988432,2.9,3.879101257,7.514228245,-5.062637437,1,0.133333333,0.148971307,0,0,0,0,0,1,1,1,1,2.521486082,0.008000006,0,1,2
ALG,1992,1,0,0,-2,0,6.343880434,2.9,3.964949113,7.477595176,-4.740443071,1,0.133333333,0.142333101,0,0,0,0,0,1,1,1,1,3.51524087,-0.012000006,3266.257,1,1
ALG,1993,1,0,0,-7,0,6.418364936,2.9,3.895671734,7.471598207,-4.628347793,1,0.133333333,0.151123622,1,0,0,0,1,0,1,1,1,3.394329723,0.018000023,3307.417,1,NA
