country dpm70 dpm75 dpm70ln dpm75ln nspm70 nspm75 nspm70ln nspm75ln regrep regrepsq l glc alf70 glc1 t20apsr semirrg psepd75 pval6872 pval7377 ecpc70 ecpc70ln landless agineq
"United States" 0.47 0.08 0.38 0.08 1.43 0.48 0.89 0.39 1.00 1.00 0.35 0.72 3.70 72 42.80 0 0 0.38 0.08 11077 9.31 1.30 16.32
"Puerto Rico" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 NA NA NA NA NA 0 0 NA NA 3219 8.08 NA NA
"Canada" 0.14 0.04 0.13 0.04 2.01 0.44 1.10 0.36 1.00 1.00 0.19 0.51 8.20 51 41.50 0 0 0.13 0.04 9393 9.15 1.56 20.45
"Cuba" 4.20 0.11 1.65 0.10 1.52 0.11 0.92 0.10 6.90 47.61 NA NA 30.60 NA NA 0 0 1.65 0.10 1096 7.00 NA NA
"Haiti" 27.86 2.64 3.36 1.29 2.36 0.44 1.21 0.36 6.10 37.21 NA 0.47 74.20 47 NA 0 0 3.36 1.29 31 3.43 NA 59.05
"Dominican Republic" 32.70 2.15 3.52 1.15 2.53 2.15 1.26 1.15 2.90 8.41 0.51 0.82 61.20 82 NA 1 0 3.52 1.15 214 5.37 31.21 70.84
"Jamaica" 0.00 16.76 0.00 2.88 0.00 3.45 0.00 1.49 1.60 2.56 0.30 0.80 29.50 80 58.30 0 0 0.00 2.88 1366 7.22 8.85 48.58
"Trinidad" 2.09 0.00 1.13 0.00 7.33 0.00 2.12 0.00 2.10 4.41 NA 0.69 18.60 69 50.00 0 0 1.13 0.00 4880 8.49 NA 35.82
"Barbados" 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.00 1.00 NA NA 20.00 NA 44.00 0 0 0.00 0.00 837 6.73 NA NA
"Mexico" 1.73 4.19 1.00 1.65 0.30 0.25 0.26 0.23 3.70 13.69 0.37 0.93 45.20 93 59.20 1 0 1.00 1.65 1207 7.10 16.72 64.84
"Guatemala" 12.27 4.24 2.59 1.66 1.70 0.33 0.99 0.28 3.00 9.00 0.29 0.82 61.00 82 NA 1 0 2.59 1.66 238 5.47 17.69 70.72
"Honduras" 0.39 14.49 0.33 2.74 0.78 0.99 0.58 0.69 4.60 21.16 NA 0.78 66.50 78 67.80 1 0 0.33 2.74 223 5.41 NA 72.02
"El Salvador" 28.44 5.36 3.38 1.85 1.14 0.97 0.76 0.68 2.60 6.76 0.71 0.81 56.10 81 52.10 1 0 3.38 1.85 205 5.32 39.83 67.41
