oid	acr	dyadid	sideb	sdate	edate	periods	supp1	supp2	supp3	rs	cl	tk	gs	tc	lsupp	riv	cinc	rdem	gwno	alls	rgdpch	POLITY	noactors	mg
AFG-1978	AFG	2370.1-1	Hezb-i-Islami	1978-09-01	1992-04-28	2	1	1	1	weak	0	1	1	0	0	1	0.0016176	-4.6	700	1	2205.45	-77	5	1
AFG-1978	AFG	2370.1-2	Jamiat-i-Islami	1978-09-01	1992-04-28	2	1	1	1	weak	0	1	1	0	0	1	0.0016176	-4.6	700	1	2205.45	-77	5	1
AFG-1989	AFG	2370.1-3	Hezb-i-Wahdat	1989-02-28	1992-04-28	1	1	1	1	parity	0	1	1	0	0	0	0.0013032	-0.2	700	0	1905.49	-8	5	1
AFG-1990	AFG	2370.1-6	Military Faction	1990-03-06	1990-03-08	1	.	.	.	weak	0	.	.	0	0	0	0.001199	0.6	700	0	1754.8	-8	5	1
AFG-1992	AFG	2370.2-3	Hezb-i-Islami	1992-06-01	1995-12-31	1	.	.	.	parity	0	.	.	0	0	0	0.0013968	-3	700	0	1447.34	-77	3	1
AFG-1992	AFG	2370.1-7	Military Faction	1992-04-15	1992-04-15	1	.	.	.	strong	0	.	.	0	0	0	0.0013968	-3	700	0	1447.34	-77	5	1
AFG-1995	AFG	2370.2-1	Taliban	1995-02-01	1996-09-28	1	.	.	.	parity	1	.	.	1	0	0	0.0012323	-3	700	0	920.83	-77	3	1
AFG-1996	AFG	2370.2-2	UIFSA	1996-10-13	2001-11-12	1	1	1	1	weak	0	0	1	1	0	1	0.0012716	-3	700	0	939.76	-7	3	1
AFG-2002	AFG	2370.3-1	Taliban	2002-11-12	2004-12-31	1	0	0	0	much weaker	0	1	1	0	0	1	0.0013299	-3.111	700	0	525.77	-66	1	0
ALG-1991	ALG	2930-1	Exile and Redemption	1991-12-01	1991-12-31	1	0	0	0	much weaker	.	1	0	0	0	1	0.0053601	-5.75	615	19	5545.9	-2	3	1
ALG-1993	ALG	2930-3	GIA	1993-12-14	2004-12-31	1	1	1	1	much weaker	0	1	1	0	0	1	0.0057766	-0.25	615	20	5430.04	-7	3	1
ALG-1993	ALG	2930-2	FIS	1993-01-01	1997-10-01	1	1	0	.	weak	0	1	1	0	0	1	0.0057766	-0.25	615	19	5430.04	-7	3	1
ANG-1975	ANG	2310.1-1	UNITA	1975-11-11	1994-11-20	5	1	1	1	much weaker	1	0	1	0	0	1	0.0007438	-2.714	540	0	1048.59	-7	2	1
ANG-1975	ANG	2310.1-3	FNLA	1975-11-11	1976-12-31	1	1	1	1	much weaker	0	0	1	0	0	1	0.0007438	-2.714	540	0	1048.59	-7	2	1
ANG-1991	ANG	2940-1	FLEC	1991-06-01	2004-12-31	2	1	1	1	much weaker	.	0	1	0	0	1	0.0016618	-1.143	540	2	1181.81	-88	1	0
ANG-1998	ANG	2310.2-1	UNITA	1998-08-01	2002-02-22	1	0	0	0	weak	1	0	0	0	0	0	0.0016114	-1.429	540	2	1798.72	-3	1	0
ARG-1955	ARG	1500.1-1	Military Faction	1955-01-16	1955-09-19	1	0	0	0	strong	1	0	0	1	0	1	0.0073769	-0.2	160	20	7345.99	-88	1	0
ARG-1963	ARG	1500.3-1	Military Faction	1963-04-02	1963-12-31	1	0	0	0	weak	1	0	0	0	0	1	0.0068435	0.8	160	19	7489.89	-1	1	0
ARG-1973	ARG	1500.2-1	ERP	1973-03-01	1977-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0061051	-7.8	160	22	10260.22	6	2	1
ARG-1973	ARG	1500.2-2	Montoneros	1973-03-01	1977-12-31	1	0	0	0	much weaker	0	0	0	0	0	1	0.0061051	-7.8	160	22	10260.22	6	2	1
AZE-1992	AZE	2950-1	Republic of Nagorno-Karabakh	1992-01-01	1994-05-04	1	1	1	1	weak	0	1	0	1	0	1	0.0013258	-1.9	373	0	3304.53	1	1	0
AZE-1993	AZE	3030-1	Husseinov Military Faction	1993-06-04	1993-06-21	1	1	1	1	strong	1	0	0	0	0	1	0.0012422	-2.2	373	1	3304.53	-3	2	1
AZE-1995	AZE	3030-2	OPON forces	1995-03-15	1995-03-17	1	0	0	0	weak	1	0	0	0	0	1	0.001352	-2.6	373	10	2293.28	-6	2	1
BFO-1987	BFO	2660-1	Popular Front	1987-10-15	1987-10-15	1	0	0	0	.	1	0	0	0	0	0	0.0004847	-7.1	439	14	861.14	-7	1	0
BNG-1975	BNG	2260-1	JSS/SB/Shanti Bahini	1975-02-01	1992-11-15	1	1	0	.	weak	0	0	0	0	0	0	0.0048514	-5.2	771	1	1322.18	-7	1	0
BOL-1946	BOL	1010.1-1	Popular Revolutionary Movement	1946-06-01	1946-07-21	1	0	0	0	parity	0	0	0	0	0	1	0.0006997	-1.6	145	20	2856.43	-5	1	0
BOL-1952	BOL	1010.2-1	MNR	1952-04-09	1952-04-11	1	0	0	0	weak	0	0	0	0	0	1	0.0005162	-1.8	145	20	3031.98	-88	1	0
BOL-1967	BOL	1010.3-1	ELN	1967-03-01	1967-10-16	1	1	1	1	much weaker	1	0	1	0	0	1	0.000584	-3	145	19	3018.63	-4	1	0
BOS-1992	BOS	2960-1	Serbian Republic of Bosnia and Herzegovina	1992-04-07	1995-12-14	1	1	1	1	parity	1	1	1	1	0	1	0.000881	6.533	346	0	1074.32	-77	2	1
BOS-1992	BOS	2960-2	Serbian irregulars	1992-04-07	1995-12-14	1	.	.	.	weak	1	.	.	0	0	1	0.000881	6.533	346	0	1074.32	-77	2	1
BOS-1993	BOS	3040-1	Autonomous Province of Western Bosnia	1993-10-03	1995-12-14	1	0	0	0	much weaker	1	0	1	1	0	1	0.0008811	6.5	346	1	846.05	-77	1	0
BOS-1993	BOS	3050-2	Croatian Republic of Bosnia and Herzegovina	1993-04-01	1994-03-18	1	.	.	.	parity	0	.	.	1	0	1	0.0008811	6.5	346	1	846.05	-77	2	1
BOS-1993	BOS	3050-3	Croatian irregulars	1993-04-01	1994-03-18	1	.	.	.	weak	.	.	.	0	0	1	0.0008811	6.5	346	1	846.05	-77	2	1
BUI-1965	BUI	1900.1-1	Military Faction	1965-10-18	1965-10-18	1	0	0	0	weak	0	0	0	0	0	1	0.0001829	-1.667	516	0	641.11	-88	1	0
BUI-1990	BUI	1900.2-1	Ubumwe	1990-08-13	1990-12-31	1	0	0	0	much weaker	0	1	0	0	0	0	0.0002969	-7.5	516	0	1065.82	-7	5	1
BUI-1991	BUI	1900.2-2	Palipehutu	1991-11-26	1992-12-31	1	0	0	0	weak	0	1	1	0	0	0	0.0003118	-4.667	516	0	1101.29	-7	5	1
BUI-1994	BUI	1900.2-3	CNDD	1994-11-26	2004-12-31	2	1	1	1	weak	0	1	1	0	0	0	0.0003598	-4.167	516	0	848.17	-77	5	1
BUI-1997	BUI	1900.2-5	Palipehutu-FNL	1997-01-01	2004-12-31	1	0	0	0	weak	0	1	1	0	0	0	0.000496	-3.667	516	0	759.3	-5	5	1
BUI-1997	BUI	1900.2-4	Frolina	1997-01-01	1997-12-31	1	0	0	0	much weaker	0	1	1	0	0	0	0.000496	-3.667	516	0	759.3	-5	5	1
CAM-1967	CAM	2030.1-1	Khmer Rouge	1967-05-01	1975-04-17	2	1	1	1	weak	0	0	1	0	0	1	0.001064	-8.5	811	0	1794.6	-9	1	0
CAM-1978	CAM	2030.2-1	KUFNS	1978-09-01	1979-01-09	1	1	1	1	much weaker	0	0	0	0	0	1	0.0009585	-5	811	0	2070.16	-7	1	0
